City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,nishihara,26.1842,127.7558,20.6,79,20,4.63,JP,1680476037
170,rojhan,28.6868,69.9534,21.27,69,8,7.4,PK,1680476037
171,codrington,-38.2667,141.9667,13.59,72,0,3.0,AU,1680476037
172,manggar,-2.8833,108.2667,25.02,84,100,1.25,ID,1680476037
173,masunga,-20.6246,27.4488,17.42,72,17,4.07,BW,1680476037
174,upernavik,72.7868,-56.1549,-29.28,98,45,0.87,GL,1680476037
175,westport,41.1415,-73.3579,10.05,23,0,5.14,US,1680475891
176,moroni,-11.7022,43.2551,26.63,81,100,1.32,KM,1680476037
177,dalbandin,28.8947,64.4101,20.57,34,7,4.76,PK,1680476037
178,eureka,40.8021,-124.1637,9.58,79,100,2.68,US,1680476037
179,alta floresta,-9.8756,-56.0861,22.9,100,75,1.54,BR,1680475378
180,bredasdorp,-34.5322,20.0403,17.62,91,2,2.91,ZA,1680475815
181,coihaique,-45.5752,-72.0662,11.34,66,75,2.06,CL,1680475795
182,ribeira brava,32.65,-17.0667,19.28,84,0,1.75,PT,1680476037
183,inhambane,-23.865,35.3833,23.53,70,52,2.84,MZ,1680475517
184,east london,-33.0153,27.9116,21.58,77,100,3.76,ZA,1680476037
185,midland,31.9974,-102.0779,30.38,7,0,9.77,US,1680475773
186,manicore,-5.8092,-61.3003,26.97,78,100,1.03,BR,1680475529
187,gold coast,-28.0,153.4333,25.43,69,100,6.69,AU,1680475743
188,maniitsoq,65.4167,-52.9,-5.99,72,10,3.81,GL,1680476038
189,galle,6.0367,80.217,24.93,87,31,1.69,LK,1680475529
190,biak,-0.9131,122.8766,25.06,80,100,1.32,ID,1680476038
191,carballo,43.213,-8.691,10.68,90,63,1.06,ES,1680476038
192,port elizabeth,-33.918,25.5701,21.29,70,0,6.69,ZA,1680475835
193,loa janan,-0.583,117.095,23.15,99,100,1.34,ID,1680476038
194,salinopolis,-0.6136,-47.3561,25.4,85,76,4.2,BR,1680475833
195,hengshui,37.7322,115.7011,14.84,46,100,3.27,CN,1680476038
196,gizo,-8.103,156.8419,28.07,71,100,3.77,SB,1680475542
197,turinsk,58.0458,63.696,1.8,86,100,2.07,RU,1680476038
198,hofn,64.2539,-15.2082,3.17,96,100,1.93,IS,1680475838
199,rio gallegos,-51.6226,-69.2181,13.03,54,0,2.57,AR,1680476038
200,kapaa,22.0752,-159.319,27.18,73,20,3.6,US,1680476038
201,guaymas,27.9333,-110.9,32.71,53,40,10.29,MX,1680475857
202,kirkwood,38.5834,-90.4068,22.62,31,20,8.23,US,1680476038
203,san policarpo,12.1791,125.5072,26.95,72,73,2.96,PH,1680476038
204,kerrobert,51.9168,-109.1348,-4.97,90,100,4.43,CA,1680476039
205,vorukh,39.8494,70.5838,9.33,59,95,2.58,TJ,1680476039
206,brae,60.3964,-1.353,6.72,86,70,3.19,GB,1680476039
207,flinders,-34.5833,150.8552,21.7,82,57,1.34,AU,1680476039
208,paka,4.6374,103.4368,23.96,94,97,0.0,MY,1680476039
209,bud,39.447,-86.1758,14.94,51,6,4.47,US,1680476039
210,kodinsk,58.6881,99.1844,-7.44,90,100,4.13,RU,1680476039
211,buraydah,26.326,43.975,16.25,21,0,3.26,SA,1680476039
212,kuytun,54.3419,101.5036,-16.28,94,68,1.59,RU,1680476039
213,bengkulu,-3.8004,102.2655,23.08,91,99,2.06,ID,1680475755
214,dikson,73.5069,80.5464,-26.5,95,100,5.75,RU,1680476039
